"No.","Time","Source","Destination","Protocol","Length","Sequence Number","Acknowledgment Number","TCP Segment Len","Info"
"1","0.000000","10.135.49.223","172.16.17.32","DNS","95","","","","Standard query 0xd663 A optimizationguide-pa.googleapis.com"
"2","0.000456","10.135.49.223","172.16.17.32","DNS","95","","","","Standard query 0xb36a HTTPS optimizationguide-pa.googleapis.com"
"3","0.007685","10.135.49.223","128.119.245.12","TCP","54","1","1","0","63276  >  80 [FIN, ACK] Seq=1 Ack=1 Win=256 Len=0"
"4","0.007832","10.135.49.223","128.119.245.12","TCP","54","1","1","0","63275  >  80 [FIN, ACK] Seq=1 Ack=1 Win=256 Len=0"
"5","0.008077","10.135.49.223","128.119.245.12","TCP","54","1","1","0","63272  >  80 [FIN, ACK] Seq=1 Ack=1 Win=256 Len=0"
"6","0.008138","10.135.49.223","128.119.245.12","TCP","54","1","1","0","63273  >  80 [FIN, ACK] Seq=1 Ack=1 Win=256 Len=0"
"7","0.008437","10.135.49.223","128.119.245.12","TCP","54","1","1","0","63271  >  80 [FIN, ACK] Seq=1 Ack=1 Win=254 Len=0"
"8","0.008510","10.135.49.223","142.250.183.14","TCP","54","1","1","0","63228  >  443 [FIN, ACK] Seq=1 Ack=1 Win=255 Len=0"
"9","0.008852","10.135.49.223","142.250.183.174","TCP","54","1","1","0","63227  >  443 [FIN, ACK] Seq=1 Ack=1 Win=259 Len=0"
"10","0.009080","10.135.49.223","142.251.42.46","TCP","54","1","1","0","63224  >  443 [FIN, ACK] Seq=1 Ack=1 Win=253 Len=0"
"11","0.009177","10.135.49.223","142.250.192.3","TCP","54","1","1","0","63241  >  443 [FIN, ACK] Seq=1 Ack=1 Win=254 Len=0"
"12","0.009239","10.135.49.223","216.58.196.65","TCP","54","1","1","0","63240  >  443 [FIN, ACK] Seq=1 Ack=1 Win=259 Len=0"
"13","0.009326","10.135.49.223","142.250.183.174","TCP","54","1","1","0","63232  >  443 [FIN, ACK] Seq=1 Ack=1 Win=254 Len=0"
"14","0.009382","10.135.49.223","142.250.182.202","TCP","54","1","1","0","63269  >  443 [FIN, ACK] Seq=1 Ack=1 Win=253 Len=0"
"15","0.009613","10.135.49.223","142.250.192.142","TCP","54","1","1","0","63259  >  443 [FIN, ACK] Seq=1 Ack=1 Win=256 Len=0"
"16","0.009673","10.135.49.223","172.217.174.67","TCP","54","1","1","0","63234  >  443 [FIN, ACK] Seq=1 Ack=1 Win=254 Len=0"
"17","0.010043","10.135.49.223","142.250.183.131","TCP","54","1","1","0","63238  >  443 [FIN, ACK] Seq=1 Ack=1 Win=254 Len=0"
"18","0.010701","10.135.49.223","128.119.245.12","TCP","66","0","0","0","63344  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"19","0.011502","10.135.49.223","128.119.245.12","TCP","66","0","0","0","63345  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"20","0.014817","10.135.49.223","172.16.17.32","DNS","83","","","","Standard query 0x9c31 A safebrowsing.google.com"
"21","0.015189","10.135.49.223","172.16.17.32","DNS","83","","","","Standard query 0x131f HTTPS safebrowsing.google.com"
"22","0.029608","172.16.17.32","10.135.49.223","DNS","351","","","","Standard query response 0xd663 A optimizationguide-pa.googleapis.com A 142.250.183.138 A 142.250.182.234 A 142.250.77.74 A 142.250.182.202 A 172.217.166.170 A 142.250.66.10 A 142.250.71.106 A 142.250.199.138 A 142.250.183.202 A 142.250.67.234 A 142.250.183.170 A 142.251.42.42 A 172.217.27.202 A 172.217.160.202 A 142.250.77.42 A 142.250.183.10"
"23","0.038835","10.135.49.223","142.250.183.138","QUIC","1292","","","","Initial, DCID=385aadee51f44cfc, PKN: 1, PING, PING, CRYPTO, PING, PADDING, CRYPTO, CRYPTO, PING, CRYPTO, PADDING, CRYPTO, PING, CRYPTO, PING, CRYPTO, PING, PADDING, PING, CRYPTO, PADDING"
"24","0.040387","10.135.49.223","142.250.183.138","QUIC","123","","","","0-RTT, DCID=385aadee51f44cfc"
"25","0.043446","172.16.17.32","10.135.49.223","DNS","152","","","","Standard query response 0xb36a HTTPS optimizationguide-pa.googleapis.com SOA ns1.google.com"
"26","0.044876","172.16.17.32","10.135.49.223","DNS","118","","","","Standard query response 0x9c31 A safebrowsing.google.com CNAME sb.l.google.com A 142.251.42.14"
"27","0.051049","172.16.17.32","10.135.49.223","DNS","152","","","","Standard query response 0x131f HTTPS safebrowsing.google.com CNAME sb.l.google.com SOA ns1.google.com"
"28","0.052716","10.135.49.223","142.251.42.14","QUIC","1292","","","","Initial, DCID=2f14599a66e44a37, PKN: 1, PADDING, PING, CRYPTO, CRYPTO, PADDING, PING, PADDING, PING, PADDING, CRYPTO, PING, PADDING, PING, PADDING, CRYPTO, PING, CRYPTO"
"29","0.053006","10.135.49.223","172.217.19.14","TLSv1.2","280","1","1","226","Application Data"
"30","0.053100","10.135.49.223","172.217.19.14","TLSv1.2","93","227","1","39","Application Data"
"31","0.053191","10.135.49.223","172.217.19.14","TLSv1.2","519","266","1","465","Application Data"
"32","0.104880","172.217.19.14","10.135.49.223","TCP","54","1","227","0","443  >  63270 [ACK] Seq=1 Ack=227 Win=274 Len=0"
"33","0.104880","172.217.19.14","10.135.49.223","TCP","54","1","266","0","443  >  63270 [ACK] Seq=1 Ack=266 Win=274 Len=0"
"34","0.104929","172.217.19.14","10.135.49.223","TCP","54","1","731","0","443  >  63270 [ACK] Seq=1 Ack=731 Win=279 Len=0"
"35","0.104929","172.217.19.14","10.135.49.223","TLSv1.2","93","1","731","39","Application Data"
"36","0.159514","10.135.49.223","172.217.19.14","TCP","54","731","40","0","63270  >  443 [ACK] Seq=731 Ack=40 Win=258 Len=0"
"37","0.270531","10.135.49.223","128.119.245.12","TCP","66","0","0","0","63346  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"38","0.273303","172.217.19.14","10.135.49.223","TLSv1.2","124","40","731","70","Application Data"
"39","0.285424","172.217.19.14","10.135.49.223","TLSv1.2","145","110","731","91","Application Data"
"40","0.285424","172.217.19.14","10.135.49.223","TLSv1.2","85","201","731","31","Application Data"
"41","0.285424","172.217.19.14","10.135.49.223","TLSv1.2","93","232","731","39","Application Data"
"42","0.285536","10.135.49.223","172.217.19.14","TCP","54","731","271","0","63270  >  443 [ACK] Seq=731 Ack=271 Win=257 Len=0"
"43","0.286569","10.135.49.223","172.217.19.14","TLSv1.2","89","731","271","35","Application Data"
"44","0.286735","10.135.49.223","172.217.19.14","TLSv1.2","93","766","271","39","Application Data"
"45","0.326984","142.250.182.202","10.135.49.223","TCP","54","1","2","0","443  >  63269 [FIN, ACK] Seq=1 Ack=2 Win=264 Len=0"
"46","0.327068","10.135.49.223","142.250.182.202","TCP","54","2","2","0","63269  >  443 [ACK] Seq=2 Ack=2 Win=253 Len=0"
"47","0.342355","142.250.183.174","10.135.49.223","TCP","54","1","2","0","443  >  63232 [FIN, ACK] Seq=1 Ack=2 Win=264 Len=0"
"48","0.342355","142.250.183.14","10.135.49.223","TCP","54","1","2","0","443  >  63228 [FIN, ACK] Seq=1 Ack=2 Win=261 Len=0"
"49","0.342355","172.217.19.14","10.135.49.223","TCP","54","271","805","0","443  >  63270 [ACK] Seq=271 Ack=805 Win=279 Len=0"
"50","0.342355","142.250.183.174","10.135.49.223","TCP","54","1","2","0","443  >  63227 [FIN, ACK] Seq=1 Ack=2 Win=261 Len=0"
"51","0.342457","10.135.49.223","142.250.183.174","TCP","54","2","2","0","63232  >  443 [ACK] Seq=2 Ack=2 Win=254 Len=0"
"52","0.342628","10.135.49.223","142.250.183.14","TCP","54","2","2","0","63228  >  443 [ACK] Seq=2 Ack=2 Win=255 Len=0"
"53","0.342748","10.135.49.223","142.250.183.174","TCP","54","2","2","0","63227  >  443 [ACK] Seq=2 Ack=2 Win=259 Len=0"
"54","0.342877","142.250.183.131","10.135.49.223","TCP","54","1","2","0","443  >  63238 [FIN, ACK] Seq=1 Ack=2 Win=265 Len=0"
"55","0.342919","10.135.49.223","142.250.183.131","TCP","54","2","2","0","63238  >  443 [ACK] Seq=2 Ack=2 Win=254 Len=0"
"56","0.348305","10.135.49.223","142.250.183.138","QUIC","1292","","","","Initial, DCID=385aadee51f44cfc, PKN: 4, PING, PING, PADDING, CRYPTO, CRYPTO, PADDING, PING, CRYPTO, PING, PING, PING, PING"
"57","0.363789","10.135.49.223","142.251.42.14","QUIC","1292","","","","Initial, DCID=2f14599a66e44a37, PKN: 3, CRYPTO, PADDING, PING, PING, CRYPTO, CRYPTO, PADDING, CRYPTO, PADDING, CRYPTO"
"58","0.391091","142.250.183.138","10.135.49.223","QUIC","1292","","","","Initial, SCID=f85aadee51f44cfc, PKN: 1, ACK, PADDING"
"59","0.409116","128.119.245.12","10.135.49.223","TCP","54","1","0","0","80  >  63271 [RST] Seq=1 Win=0 Len=0"
"60","0.409116","128.119.245.12","10.135.49.223","TCP","54","1","0","0","80  >  63275 [RST] Seq=1 Win=0 Len=0"
"61","0.409116","128.119.245.12","10.135.49.223","TCP","66","0","1","0","80  >  63344 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM WS=128"
"62","0.409383","10.135.49.223","128.119.245.12","TCP","54","1","1","0","63344  >  80 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
"63","0.411003","10.135.49.223","128.119.245.12","TCP","762","1","1","708","63344  >  80 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=708 [TCP segment of a reassembled PDU]"
"64","0.411904","10.135.49.223","128.119.245.12","TCP","1514","709","1","1460","63344  >  80 [ACK] Seq=709 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"65","0.411904","10.135.49.223","128.119.245.12","TCP","1514","2169","1","1460","63344  >  80 [ACK] Seq=2169 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"66","0.411904","10.135.49.223","128.119.245.12","TCP","1514","3629","1","1460","63344  >  80 [ACK] Seq=3629 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"67","0.411904","10.135.49.223","128.119.245.12","TCP","1514","5089","1","1460","63344  >  80 [ACK] Seq=5089 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"68","0.411904","10.135.49.223","128.119.245.12","TCP","1514","6549","1","1460","63344  >  80 [ACK] Seq=6549 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"69","0.411904","10.135.49.223","128.119.245.12","TCP","1514","8009","1","1460","63344  >  80 [ACK] Seq=8009 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"70","0.411904","10.135.49.223","128.119.245.12","TCP","1514","9469","1","1460","63344  >  80 [ACK] Seq=9469 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"71","0.411904","10.135.49.223","128.119.245.12","TCP","1514","10929","1","1460","63344  >  80 [ACK] Seq=10929 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"72","0.411904","10.135.49.223","128.119.245.12","TCP","1514","12389","1","1460","63344  >  80 [ACK] Seq=12389 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"73","0.412330","128.119.245.12","10.135.49.223","TCP","66","0","1","0","80  >  63345 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM WS=128"
"74","0.412568","10.135.49.223","128.119.245.12","TCP","54","1","1","0","63345  >  80 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
"75","0.423340","142.250.183.138","10.135.49.223","QUIC","1292","","","","Protected Payload (KP0)"
"76","0.423340","142.250.183.138","10.135.49.223","QUIC","856","","","","Protected Payload (KP0)"
"77","0.423593","142.250.183.138","10.135.49.223","QUIC","234","","","","Protected Payload (KP0)"
"78","0.423593","142.250.183.138","10.135.49.223","QUIC","66","","","","Protected Payload (KP0)"
"79","0.425316","10.135.49.223","142.250.183.138","QUIC","1292","","","","Handshake, DCID=f85aadee51f44cfc"
